Ghana,,Accra,Kalis Lodge,http://www.hostelbookers.com/hostels/ghana/accra/65991/
Ghana,,Accra,J2N Guest House,http://www.hostelbookers.com/hostels/ghana/accra/48666/
Ghana,,Axim,Axim Beach Hotel,http://www.hostelbookers.com/hotels/ghana/axim/29526/
Ghana,,Cape Coast,Hans Cottage Botel,http://www.hostelbookers.com/hostels/ghana/cape-coast/29529/
Ghana,,Cape Coast,Moree Beach Resort,http://www.hostelbookers.com/hotels/ghana/cape-coast/51747/
Ghana,,Cape Coast,Hans Cottage Botel Apartment,http://www.hostelbookers.com/hostels/ghana/cape-coast/41358/
Ghana,,Cape Coast,Stumble Inn,http://www.hostelbookers.com/hostels/ghana/cape-coast/71472/
Ghana,,Kumasi,Rainbow Garden Village Guesthouse,http://www.hostelbookers.com/hostels/ghana/kumasi/37373/
Ghana,,Takoradi,African Rainbow Resort,http://www.hostelbookers.com/hotels/ghana/takoradi/51748/
Ghana,,Takoradi,Abuesi Beach Resort,http://www.hostelbookers.com/hotels/ghana/takoradi/42699/
Ghana,,Tema,Gussys Hotel,http://www.hostelbookers.com/hostels/ghana/tema/29665/
Kenya,,Kilifi,Distant Relatives Ecolodge & Backpackers,http://www.hostelbookers.com/hostels/kenya/kilifi/99310/
Kenya,,Lamu,JamboHouse,http://www.hostelbookers.com/hostels/kenya/lamu/53731/
Kenya,,Lamu,Kilimanjaro House,http://www.hostelbookers.com/hostels/kenya/lamu/75687/
Kenya,,Lamu,Miji Guesthouse,http://www.hostelbookers.com/hostels/kenya/lamu/108938/
Kenya,,Maasai Mara Reserve,Enchoro Wildlife Camp,http://www.hostelbookers.com/hostels/kenya/maasai-mara-reserve/47912/
Kenya,,Maasai Mara Reserve,Rhino Tourist Camp,http://www.hostelbookers.com/hostels/kenya/maasai-mara-reserve/84878/
Kenya,,Maasai Mara Reserve,Flamingo Camp and Cottages Safari,http://www.hostelbookers.com/hostels/kenya/maasai-mara-reserve/23086/
Kenya,,Maasai Mara Reserve,Mara Explorers Camp,http://www.hostelbookers.com/hostels/kenya/maasai-mara-reserve/92917/
Kenya,,Mombasa,Tulia House and Camp,http://www.hostelbookers.com/hostels/kenya/mombasa/105685/
Kenya,,Mombasa,Bamburi Beach Resort,http://www.hostelbookers.com/hostels/kenya/mombasa/43374/
Kenya,,Mombasa,Mombasa Backpackers,http://www.hostelbookers.com/hostels/kenya/mombasa/60326/
Kenya,,Mombasa,Safina Hostel,http://www.hostelbookers.com/hostels/kenya/mombasa/84096/
Kenya,,Mombasa,The Beach - Bar Restaurant & Camp Lodge,http://www.hostelbookers.com/hostels/kenya/mombasa/43765/
Kenya,,Mombasa,Mtwapa Creek Villa,http://www.hostelbookers.com/hostels/kenya/mombasa/52188/
Kenya,,Nairobi,Bush House & Camp,http://www.hostelbookers.com/hostels/kenya/nairobi/17128/
Kenya,,Nairobi,Aquarium Guest Homes,http://www.hostelbookers.com/hostels/kenya/nairobi/63252/
Kenya,,Nairobi,Hotel Embassy - Nairobi,http://www.hostelbookers.com/hotels/kenya/nairobi/78025/
Kenya,,Nairobi,Ambassadeur Hotel,http://www.hostelbookers.com/hotels/kenya/nairobi/106097/
Kenya,,Nairobi,Wildebeest Camp,http://www.hostelbookers.com/hostels/kenya/nairobi/24457/
Kenya,,Nairobi,Airportview plaza hotel,http://www.hostelbookers.com/hotels/kenya/nairobi/96840/
Kenya,,Nairobi,Bermuda Hotel Nairobi,http://www.hostelbookers.com/hotels/kenya/nairobi/32756/
Kenya,,Nairobi,Downtown Backpackers,http://www.hostelbookers.com/hostels/kenya/nairobi/83678/
Kenya,,Nairobi,Jobcamp Guest House,http://www.hostelbookers.com/hostels/kenya/nairobi/30619/
Kenya,,Nairobi,Nairobi Airport Stop Over House,http://www.hostelbookers.com/hostels/kenya/nairobi/69888/
Kenya,,Nairobi,Khweza Bed and Breakfast Nairobi,http://www.hostelbookers.com/hostels/kenya/nairobi/47241/
Kenya,,Nairobi,Aquarium Guest Resort,http://www.hostelbookers.com/hostels/kenya/nairobi/75862/
