BBQ
Meals available
Outdoor Terrace
Parking
PlayStation
Pool Table
Safe Deposit Box
Tea/Coffee Making Facilities
Tours/Travel Desk
Towels for hire
Washing machine
Wheelchair Accessible
Wii
24 Hour Reception
24 Hour Security
Adaptors
BBQ
Bicycle Parking
Board games
Book Exchange
Breakfast Included
Common Room
Free City Maps
Free Internet Access
Free Parking
Free WiFi
Hairdryers For Hire
Hot Showers
Internet Access
Kitchen
Laundry Facilities
Linen Included
Lockers
Luggage Storage
Meals available
Parking
Safe Deposit Box
Tea/Coffee Making Facilities
Tours/Travel Desk
Towels for hire
Washing machine
Credit Cards Accepted
No Curfew
Non Smoking
Taxes Included
Board games
Breakfast Included
Free City Maps
Free Internet Access
Free WiFi
Hairdryers
Internet Access
Kitchen
Laundry Facilities
Lounge
Luggage Storage
Tea/Coffee Making Facilities
Towels Included
Child Friendly
Non Smoking
Pet Friendly
Taxes Included
24 Hour Security
Bicycle Parking
Board games
Book Exchange
Breakfast Included
Common Room
DVD's
Free City Maps
Free Internet Access
Free Parking
Free WiFi
Hairdryers For Hire
Hot Showers
Internet Access
Kitchen
Laundry Facilities
Linen Included
Lockers
Luggage Storage
Outdoor Terrace
Parking
PlayStation
Reading Light
Tea/Coffee Making Facilities
Tours/Travel Desk
Towels for hire
Age Restriction
Non Smoking
24 Hour Reception
24 Hour Security
Bicycle Parking
Cable TV
Card Phones
Common Room
Fax Service
Free Internet Access
Foosball
Games Room
Hairdryers For Hire
Internet Access
Kitchen
Linen Included
Luggage Storage
Outdoor Terrace
Parking
Tours/Travel Desk
Towels for hire
24 Hour Reception
Breakfast Not Included
Elevator
Fax Service
Hairdryers
Housekeeping
Internet Access
Luggage Storage
Parking
Tea/Coffee Making Facilities
Child Friendly
Non Smoking
Pet Friendly
Bicycle Parking
Board games
Book Exchange
Breakfast Included
Cable TV
Common Room
DVD's
Free City Maps
Free Internet Access
Free Parking
Free WiFi
Hot Showers
Kitchen
Laundry Facilities
Linen Included
Luggage Storage
Outdoor Terrace
Parking
PlayStation
Tea/Coffee Making Facilities
Tours/Travel Desk
Towels for hire
Washing machine
Age Restriction
Credit Cards Not Accepted
Linen Included
Restaurant
Wheelchair Accessible
24 Hour Security
Bicycle Parking
Breakfast Included
Common Room
DVD's
Free City Maps
Free Parking
Free WiFi
Hairdryers For Hire
Hot Showers
Internet Access
Key Card Access
Kitchen
Laundry Facilities
Linen Included
Luggage Storage
Outdoor Terrace
Parking
Tea/Coffee Making Facilities
Tours/Travel Desk
Towels for hire
Child Friendly
Credit Cards Accepted
Non Smoking
Breakfast Included
Cots available
Free WiFi
Hairdryers
Internet Access
Laundry Facilities
Lounge
24 Hour Reception
Bar
Breakfast Not Included
Free Parking
Luggage Storage
Nightclub
Restaurant
Tea/Coffee Making Facilities
24 Hour Reception
24 Hour Security
BBQ
Bicycle Parking
Breakfast Included
Free Internet Access
Parking
Towels Included
Wheelchair Accessible
Airport Transfers
Bicycle Parking
Board games
Breakfast Included
Cable TV
Free Airport Transfer
Free Internet Access
Free Parking
Hairdryers
Laundry Facilities
Lounge
Luggage Storage
Meals available
Parking
Tea/Coffee Making Facilities
Towels Included
Child Friendly
Non Smoking
Pet Friendly
24 Hour Reception
24 Hour Security
Adaptors
BBQ
Bicycle Parking
Board games
Book Exchange
Breakfast Included
Common Room
DVD's
Free City Maps
Free Internet Access
Free Parking
Free WiFi
Hairdryers For Hire
Hot Showers
Housekeeping
Internet Access
Kitchen
Laundry Facilities
Linen Included
Lockers
Luggage Storage
Meals available
Outdoor Terrace
Parking
Postal Service
Safe Deposit Box
Swimming Pool
Tea/Coffee Making Facilities
Tours/Travel Desk
Towels for hire
Vending Machines
Washing machine
Age Restriction
Taxes Included
Breakfast Not Included
Card Phones
Common Room
Hot Showers
Internet Access
Kitchen
Linen Included
Luggage Storage
Meeting Room
Reading Light
Towels for hire
Washing machine
Wheelchair Accessible
Child Friendly
Credit Cards Accepted
Non Smoking
Taxes Included
Adaptors
BBQ
Bicycle Parking
Board games
Book Exchange
Breakfast Not Included
Common Room
Free Internet Access
Free Parking
Free WiFi
Hot Showers
Internet Access
Kitchen
Laundry Facilities
Linen Included
Outdoor Terrace
Parking
Towels for hire
Towels Included
Washing machine
Wheelchair Accessible
Child Friendly
Credit Cards Accepted
Non Smoking
Taxes Included
24 Hour Reception
Adaptors
BBQ
Bicycle Parking
Board games
DVD's
Free Internet Access
Free Parking
Free WiFi
Hairdryers
Hot Showers
Internet Access
Kitchen
Laundry Facilities
Linen Included
Luggage Storage
Meeting Room
Tea/Coffee Making Facilities
Washing machine
Credit Cards Not Accepted
Non Smoking
Taxes Included
24 Hour Security
BBQ
